listing_id,price,nbhood_full,host_name,last_review,description,room_type
9782,55 dollars,"Brooklyn, Greenpoint",Andrea,June 15 2019,Loft in Williamsburg Area w/ Roof,Private room
9783,50 dollars,"Manhattan, Harlem",Ssameer Or Trip,July 01 2019,back room/bunk beds,Private room
10452,70 dollars,"Brooklyn, Bedford-Stuyvesant",Angela,May 12 2019,Large B&B Style rooms,Private room
10962,89 dollars,"Brooklyn, South Slope",Laurie,June 21 2019,"Lovely room 2 & garden; Best area, Legal rental",Private room
11708,85 dollars,"Brooklyn, Bushwick",Tyrome,June 22 2019,Cute apt in artist's home,Entire home/apt
12048,40 dollars,"Manhattan, Lower East Side",Ben,July 05 2019,LowerEastSide apt share shortterm 1,shared room
12192,68 dollars,"Manhattan, East Village",Edward,June 21 2019,ENJOY Downtown NYC!,PRIVATE ROOM
12299,120 dollars,"Brooklyn, South Slope",Abdul,May 27 2019,Beautiful Sunny Park Slope Brooklyn,Entire home/apt
12318,135 dollars,"Manhattan, Upper West Side",Cyn,June 16 2019,West Side Retreat,Private room
12343,150 dollars,"Manhattan, Harlem",Earl,June 13 2019,BEST BET IN HARLEM,Entire home/apt
12627,150 dollars,"Brooklyn, Prospect-Lefferts Gardens",Rana,June 05 2019,Entire apartment in central Brooklyn neighborhood.,Entire home/apt
12937,130 dollars,"Queens, Long Island City",Orestes,July 01 2019,"1 Stop fr. Manhattan! Private Suite,Landmark Block",private room
12940,110 dollars,"Brooklyn, Bedford-Stuyvesant",Adreinne,May 25 2019,Charming Brownstone 3 - Near PRATT,Entire home/apt
13394,80 dollars,"Brooklyn, Fort Greene",Alexander,June 17 2019,Fort Greene brownstone,Private room
13808,80 dollars,"Brooklyn, Bedford-Stuyvesant",JT And Tiziana,June 16 2019,Blue Room for 2 in Brownstone for $1350 monthly,Private room
14287,151 dollars,"Manhattan, Upper West Side",Joya,July 07 2019,Cozy 1BD on Central Park West in New York City,Entire home/apt
14290,228 dollars,"Brooklyn, Williamsburg",James,May 17 2019,* ORIGINAL BROOKLYN LOFT *,entire home/apt
14314,144 dollars,"Brooklyn, Greenpoint",Jeanne,June 29 2019,Greenpoint Place...Has It All!,ENTIRE HOME/APT
14322,200 dollars,"Manhattan, Kips Bay",Francesca,March 25 2019,Beautiful Apartment in Manhattan!!!,Entire home/apt
14377,150 dollars,"Brooklyn, Williamsburg",Joanna,June 22 2019,Williamsburg 1 bedroom Apartment,Entire home/apt
14991,110 dollars,"Manhattan, Lower East Side",Bianca,May 18 2019,"Great Location, Manhattan Bedroom!",PRIVATE ROOM
15220,69 dollars,"Manhattan, Hell's Kitchen",Luiz,June 09 2019,Best Location in NYC! TIMES SQUARE!,private room
15338,49 dollars,"Brooklyn, Greenpoint",Andrea,June 04 2019,Room in Greenpoint Loft w/ Roof,Private room
15341,180 dollars,"Manhattan, SoHo",Ted,June 29 2019,**Bright Nolita Apt w Doorman/Elevators/Gym**,Entire home/apt
15385,80 dollars,"Brooklyn, Williamsburg",Cristina,June 30 2019,"Very, very cozy place",Private room
